Test Description,Passed,Reason
Checking the output of the command 'ip -4 route show table main | grep -Ev ' proto kernel scope link( |$)|^(default|0[.]0[.]0[.]0/0)' | sort' on 'r2',False,"The output of the command differs from the expected one.
 Actual: Error: inet prefix is expected rather than ""|"".
 Expected: 10.1.1.0/24 via 10.255.12.1 dev eth1
10.3.3.0/24 via 10.255.12.1 dev eth1
10.4.4.0/24 via 10.255.24.2 dev eth2
10.5.5.0/24 via 10.255.24.2 dev eth2
10.255.13.0/30 via 10.255.12.1 dev eth1
10.255.34.0/30 via 10.255.24.2 dev eth2
10.255.45.0/30 via 10.255.24.2 dev eth2"
Checking the output of the command 'ip -4 route show table main | grep -E '^(default|0[.]0[.]0[.]0/0)'' on 'r2',False,"The output of the command differs from the expected one.
 Actual: Error: inet prefix is expected rather than ""|"".
 Expected: "
Checking the output of the command 'ip -4 route show table main proto boot | sort' on 'r3',False,"The output of the command differs from the expected one.
 Actual: Error: inet prefix is expected rather than ""|"".
 Expected: 10.1.1.0/24 via 10.255.13.1 dev eth1
10.2.2.0/24 via 10.255.13.1 dev eth1
10.4.4.0/24 via 10.255.34.2 dev eth2
10.5.5.0/24 via 10.255.34.2 dev eth2
10.255.12.0/30 via 10.255.13.1 dev eth1
10.255.24.0/30 via 10.255.34.2 dev eth2
10.255.45.0/30 via 10.255.34.2 dev eth2"
Checking the output of the command 'ip -4 route show table main | grep -Ev ' proto kernel scope link( |$)|^(default|0[.]0[.]0[.]0/0)' | sort' on 'r3',False,"The output of the command differs from the expected one.
 Actual: Error: inet prefix is expected rather than ""|"".
 Expected: 10.1.1.0/24 via 10.255.13.1 dev eth1
10.2.2.0/24 via 10.255.13.1 dev eth1
10.4.4.0/24 via 10.255.34.2 dev eth2
10.5.5.0/24 via 10.255.34.2 dev eth2
10.255.12.0/30 via 10.255.13.1 dev eth1
10.255.24.0/30 via 10.255.34.2 dev eth2
10.255.45.0/30 via 10.255.34.2 dev eth2"
Checking the output of the command 'ip -4 route show table main | grep -E '^(default|0[.]0[.]0[.]0/0)'' on 'r3',False,"The output of the command differs from the expected one.
 Actual: Error: inet prefix is expected rather than ""|"".
 Expected: "
Checking the output of the command 'ip -4 route show table main proto boot | sort' on 'r4',False,"The output of the command differs from the expected one.
 Actual: Error: inet prefix is expected rather than ""|"".
 Expected: 10.1.1.0/24 via 10.255.24.1 dev eth1
10.2.2.0/24 via 10.255.24.1 dev eth1
10.3.3.0/24 via 10.255.34.1 dev eth2
10.5.5.0/24 via 10.255.45.2 dev eth3
10.255.12.0/30 via 10.255.24.1 dev eth1
10.255.13.0/30 via 10.255.34.1 dev eth2"
Checking the output of the command 'ip -4 route show table main | grep -Ev ' proto kernel scope link( |$)|^(default|0[.]0[.]0[.]0/0)' | sort' on 'r4',False,"The output of the command differs from the expected one.
 Actual: Error: inet prefix is expected rather than ""|"".
 Expected: 10.1.1.0/24 via 10.255.24.1 dev eth1
10.2.2.0/24 via 10.255.24.1 dev eth1
10.3.3.0/24 via 10.255.34.1 dev eth2
10.5.5.0/24 via 10.255.45.2 dev eth3
10.255.12.0/30 via 10.255.24.1 dev eth1
10.255.13.0/30 via 10.255.34.1 dev eth2"
Checking the output of the command 'ip -4 route show table main | grep -E '^(default|0[.]0[.]0[.]0/0)'' on 'r4',False,"The output of the command differs from the expected one.
 Actual: Error: inet prefix is expected rather than ""|"".
 Expected: "
Checking the output of the command 'ip -4 route show table main proto boot | sort' on 'r5',False,"The output of the command differs from the expected one.
 Actual: Error: inet prefix is expected rather than ""|"".
 Expected: 10.1.1.0/24 via 10.255.45.1 dev eth1
10.2.2.0/24 via 10.255.45.1 dev eth1
10.3.3.0/24 via 10.255.45.1 dev eth1
10.4.4.0/24 via 10.255.45.1 dev eth1
10.255.12.0/30 via 10.255.45.1 dev eth1
10.255.13.0/30 via 10.255.45.1 dev eth1
10.255.24.0/30 via 10.255.45.1 dev eth1
10.255.34.0/30 via 10.255.45.1 dev eth1"
Checking the output of the command 'ip -4 route show table main | grep -Ev ' proto kernel scope link( |$)|^(default|0[.]0[.]0[.]0/0)' | sort' on 'r5',False,"The output of the command differs from the expected one.
 Actual: Error: inet prefix is expected rather than ""|"".
 Expected: 10.1.1.0/24 via 10.255.45.1 dev eth1
10.2.2.0/24 via 10.255.45.1 dev eth1
10.3.3.0/24 via 10.255.45.1 dev eth1
10.4.4.0/24 via 10.255.45.1 dev eth1
10.255.12.0/30 via 10.255.45.1 dev eth1
10.255.13.0/30 via 10.255.45.1 dev eth1
10.255.24.0/30 via 10.255.45.1 dev eth1
10.255.34.0/30 via 10.255.45.1 dev eth1"
Checking the output of the command 'ip -4 route show table main | grep -E '^(default|0[.]0[.]0[.]0/0)'' on 'r5',False,"The output of the command differs from the expected one.
 Actual: Error: inet prefix is expected rather than ""|"".
 Expected: "
