Test Description,Passed,Reason
Verifying `10.1.0.11` reachable from device `pc5a`,True,OK
Verifying `10.2.0.10` reachable from device `pc5a`,True,OK
Verifying `10.2.0.11` reachable from device `pc5a`,True,OK
Verifying `10.3.0.10` reachable from device `pc5a`,True,OK
Verifying `10.3.0.11` reachable from device `pc5a`,True,OK
Verifying `10.4.0.10` reachable from device `pc5a`,True,OK
Verifying `10.4.0.11` reachable from device `pc5a`,True,OK
Verifying `10.5.0.11` reachable from device `pc5a`,True,OK
Verifying `10.1.0.10` reachable from device `pc5b`,True,OK
Verifying `10.1.0.11` reachable from device `pc5b`,True,OK
Verifying `10.2.0.10` reachable from device `pc5b`,True,OK
Verifying `10.2.0.11` reachable from device `pc5b`,True,OK
Verifying `10.3.0.10` reachable from device `pc5b`,True,OK
Verifying `10.3.0.11` reachable from device `pc5b`,True,OK
Verifying `10.4.0.10` reachable from device `pc5b`,True,OK
Verifying `10.4.0.11` reachable from device `pc5b`,True,OK
Verifying `10.5.0.10` reachable from device `pc5b`,True,OK
Checking the routing table of r1,True,OK
Checking the routing table of r2,True,OK
Checking the routing table of r3,True,OK
Checking the routing table of r4,True,OK
Checking the routing table of r5,True,OK
