Test Description,Passed,Reason
Checking the routing table of pc1a,False,The routing table of pc1a is missing route fd00:1:2::/64
Checking the routing table of pc1a,False,The routing table of pc1a is missing route fd00:1:3::/64
Checking the routing table of pc1a,False,The routing table of pc1a is missing route fd00:1:4::/64
Checking the routing table of pc1b,False,"The routing table of pc1b have the wrong number of routes: 3, expected: 6"
Checking the routing table of pc1b,False,The routing table of pc1b is missing route fd00:1:2::/64
Checking the routing table of pc1b,False,The routing table of pc1b is missing route fd00:1:3::/64
Checking the routing table of pc1b,False,The routing table of pc1b is missing route fd00:1:4::/64
Checking the routing table of pc2a,False,"The routing table of pc2a have the wrong number of routes: 3, expected: 6"
Checking the routing table of pc2a,False,The routing table of pc2a is missing route fd00:1:1::/64
Checking the routing table of pc2a,False,The routing table of pc2a is missing route fd00:1:3::/64
Checking the routing table of pc2a,False,The routing table of pc2a is missing route fd00:1:4::/64
Checking the routing table of pc2b,False,"The routing table of pc2b have the wrong number of routes: 3, expected: 6"
Checking the routing table of pc2b,False,The routing table of pc2b is missing route fd00:1:1::/64
Checking the routing table of pc2b,False,The routing table of pc2b is missing route fd00:1:3::/64
Checking the routing table of pc2b,False,The routing table of pc2b is missing route fd00:1:4::/64
Checking the routing table of pc3a,False,"The routing table of pc3a have the wrong number of routes: 3, expected: 6"
Checking the routing table of pc3a,False,The routing table of pc3a is missing route fd00:1:1::/64
Checking the routing table of pc3a,False,The routing table of pc3a is missing route fd00:1:2::/64
Checking the routing table of pc3a,False,The routing table of pc3a is missing route fd00:1:4::/64
Checking the routing table of pc3b,False,"The routing table of pc3b have the wrong number of routes: 3, expected: 6"
Checking the routing table of pc3b,False,The routing table of pc3b is missing route fd00:1:1::/64
Checking the routing table of pc3b,False,The routing table of pc3b is missing route fd00:1:2::/64
Checking the routing table of pc3b,False,The routing table of pc3b is missing route fd00:1:4::/64
Checking the routing table of pc4a,False,"The routing table of pc4a have the wrong number of routes: 3, expected: 6"
Checking the routing table of pc4a,False,The routing table of pc4a is missing route fd00:1:1::/64
Checking the routing table of pc4a,False,The routing table of pc4a is missing route fd00:1:2::/64
Checking the routing table of pc4a,False,The routing table of pc4a is missing route fd00:1:3::/64
Checking the routing table of pc4b,False,"The routing table of pc4b have the wrong number of routes: 3, expected: 6"
Checking the routing table of pc4b,False,The routing table of pc4b is missing route fd00:1:1::/64
Checking the routing table of pc4b,False,The routing table of pc4b is missing route fd00:1:2::/64
Checking the routing table of pc4b,False,The routing table of pc4b is missing route fd00:1:3::/64
